id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Target,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
316,Meknès,favorable,Blé tendre,Wheat,Bour,S1,17/11/2020,25/01/2021,Yes,Yes,29/12/2020,No,,After,4.55,97%,0.136,0.001,0.102,0.039,0.098,0.078,0.041,0.069,0.212,0.275,0.261,0.288,0.051,0.72,0.001,5.843,0.688,0.839,833.422,835.62,0.433,2.034,559.54,906.45,576.73,"4,650.79","1,940.08","3,248.75",324.84,324.9,823.59,18.3,326.63,0.9,1.6,"2,230.66",190.79,611.11,-0.7,1.3,0.8,0.63,0.74,0.59,0.81,0.11,0.14,0.46,4.95,3.61,0.87,0.3,0.69,13.75,0.99,0.99,0.8,0.86,1.07,0.08,6.33,4.37,1.61,2.82,2.82,6.44,0.12,0.35,1.38,42.9,23.53,25.75,9.11,9.65,-0.78,2.01,1.01,0.9,0.97,0.86,1.01,0.24,0.33,0.76,7.65,125.46,438.06,331.02,9.3,0.2,3.9,73.3,316.9
317,Meknès,favorable,Blé tendre,Wheat,Bour,S1,01/12/2020,11/02/2021,Yes,Yes,20/12/2020,No,,After,5,94%,0.147,0.002,0.156,0.067,0.106,0.094,0.053,0.098,0.333,0.438,0.423,0.459,0.154,1.306,0.002,5.91,0.729,0.896,833.865,836.007,0.608,2.918,471.5,787.16,660.36,"3,429.18","2,048.89","3,249.02",324.87,325.23,963.73,24.18,327.01,0.78,2.13,"2,297.13",299.69,634.8,-0.22,1.24,0.38,0.32,0.37,0.37,0.4,0.17,0.33,0.34,3.68,4.01,0.56,0.52,0.54,11.94,0.39,0.58,0.53,0.58,0.6,0.21,1.15,1.04,0.86,1.04,1.27,1.5,0.35,0.81,0.81,21.05,24.58,23.01,6.47,7.99,-0.36,2.2,0.66,0.59,0.61,0.6,0.68,0.32,0.58,0.59,6.57,108.51,342.58,267.52,,,,,
318,Meknès,favorable,Blé tendre,Wheat,Bour,S1,18/11/2020,25/01/2021,Yes,Yes,20/12/2020,No,,After,4.15,96%,0.205,0.002,0.238,0.128,0.16,0.153,0.125,0.165,0.318,0.381,0.354,0.404,0.088,0.495,0.001,4.44,0.456,0.549,831.463,833.905,0.374,2.185,637.68,"1,015.45",856.75,"3,744.98","2,766.33","3,248.75",324.84,324.86,"1,460.50",18.3,327.15,0.72,1.66,"2,285.40",246.33,647.57,-0.21,0.87,0.36,0.31,0.37,0.39,0.4,0.19,0.25,0.29,3.41,3.04,0.65,0.31,0.56,11.87,0.64,0.74,0.62,0.62,0.82,0.17,2.07,1.67,1.04,1.44,1.5,2.3,0.23,0.58,0.92,23.35,23.24,24.05,9.75,10.73,-0.32,1.5,0.59,0.57,0.61,0.62,0.63,0.31,0.45,0.57,5.86,122.92,448.67,341.19,9,0.2,3.1,47.2,490.1
319,Meknès,favorable,Blé tendre,Wheat,Bour,S1,23/11/2020,26/01/2021,Yes,No,,No,,No N topDress ,2.69,90%,0.135,0.001,0.186,0.102,0.105,0.097,0.075,0.101,0.168,0.189,0.168,0.205,0.036,0.188,0.001,2.897,0.347,0.44,826.265,829.357,0.196,1.551,407.1,565.18,576.15,"1,194.90","1,339.13","3,201.60",319.77,319.81,812.9,18.3,322.52,0.4,1.74,"2,206.05",281.41,637.79,-0.39,0.93,0.43,0.37,0.44,0.47,0.47,0.09,0.17,0.32,3.4,3,0.69,0.31,0.52,11.02,0.66,0.73,0.57,0.69,0.76,0.1,1.96,1.55,0.92,1.38,1.78,2.07,0.12,0.35,0.81,21.28,24.09,25.12,9.02,11.76,-0.64,1.81,0.79,0.71,0.77,0.78,0.82,0.18,0.41,0.68,6.64,123.39,422.55,316.31,9,0.2,3.3,61.5,414
320,Meknès,favorable,Blé tendre,Wheat,Bour,S1,28/11/2020,26/01/2021,Yes,No,,No,,No N topDress ,5.3,100%,0.128,0.001,0.178,0.07,0.098,0.093,0.051,0.098,0.286,0.355,0.332,0.384,0.064,0.889,0.002,4.572,0.653,0.847,830.617,833.165,0.508,2.224,486.2,802.7,569.58,"3,823.75","1,802.05","3,254.50",325.5,325.6,881.69,20.59,327.54,0.85,2.04,"2,354.63",299.46,725.88,-0.62,1.29,0.73,0.54,0.64,0.58,0.74,0.12,0.13,0.39,4.57,3.31,0.79,0.13,0.61,11.76,0.83,0.86,0.77,0.76,0.92,0.09,2.99,2.36,1.5,2.13,2.13,3.11,0.12,0.23,1.15,28.41,23.69,25.61,9.18,10.45,-0.73,2.1,0.97,0.87,0.93,0.88,0.97,0.24,0.31,0.8,7.47,118.42,409.11,303.16,9.1,0.2,2.6,72.9,405.6
321,Meknès,favorable,Blé tendre,Wheat,Bour,S1,04/12/2020,11/02/2021,Yes,No,,No,,No N topDress ,3.92,102%,0.163,0.001,0.065,0.033,0.116,0.085,0.052,0.066,0.152,0.188,0.166,0.189,0.05,0.31,0,6.754,0.548,0.601,833.72,835.88,0.247,1.368,487.04,825.7,700.35,"3,954.60","1,829.06","3,306.02",330.63,330.25,905.05,18.84,333.4,0.8,1.61,"2,261.25",245.07,600.65,-0.3,1.04,0.49,0.39,0.43,0.39,0.49,0.2,0.26,0.37,3.88,3.52,0.7,0.3,0.64,13.14,0.64,0.83,0.66,0.71,0.85,0.21,1.96,1.78,1.15,1.67,1.84,2.3,0.35,0.46,1.15,26.34,23.37,25.36,9.98,10.82,-0.45,1.86,0.78,0.66,0.72,0.63,0.8,0.35,0.56,0.65,6.92,136.94,428.96,307.73,,,,,
323,Meknès,favorable,Orge,Barley,Bour,S1,16/11/2020,25/01/2021,Yes,Yes,20/12/2020,No,,After,5.23,98%,0.128,0.001,0.188,0.078,0.102,0.111,0.069,0.136,0.313,0.376,0.345,0.401,0.081,0.705,0.004,3.03,0.538,0.765,827.411,830.36,0.481,2.233,673.9,"1,167.83",909.65,"5,020.90","2,171.78","3,234.95",323.51,323.76,"1,110.33",23.65,325.36,0.8,1.77,"2,109.45",271.29,617.67,-0.3,1.01,0.41,0.32,0.41,0.45,0.46,0.16,0.24,0.28,3.5,3.56,0.64,0.41,0.54,12.39,0.56,0.7,0.55,0.66,0.77,0.21,1.61,1.38,0.81,1.32,1.73,1.96,0.35,0.69,0.81,23.12,24.91,23.2,9.05,10.18,-0.46,1.78,0.68,0.57,0.67,0.7,0.72,0.26,0.47,0.52,6.19,119.08,400.28,293.02,9.8,0.2,3.8,80.3,369.5
324,Meknès,favorable,Blé dur,Wheat,Bour,S1,23/11/2020,26/01/2021,Yes,Yes,15/12/2020,No,,After,3.88,97%,0.138,0.001,0.175,0.07,0.104,0.102,0.055,0.118,0.357,0.434,0.386,0.46,0.082,1.148,0.003,4.389,0.659,0.863,829.409,832.108,0.562,2.335,,,,,,,323.66,323.84,,18.3,,,2.1,"2,373.26",329.36,760.5,-0.44,1.14,0.5,0.44,0.51,0.55,0.56,0.12,0.21,0.38,4.13,3.68,0.75,0.3,0.69,13.36,0.66,0.77,0.71,0.73,0.82,0.16,1.84,1.78,1.27,1.73,1.96,2.07,0.23,0.35,1.27,27.6,21.8,23.84,10.28,11.33,-0.56,1.91,0.8,0.74,0.78,0.78,0.8,0.24,0.45,0.7,6.92,132.6,417.38,303.88,9.8,0.2,3.3,64.9,324.9
326,Meknès,favorable,Blé dur,Wheat,Bour,S1,20/11/2020,26/01/2021,Yes,Yes,21/12/2020,No,,After,3.36,100%,0.152,0.001,0.267,0.171,0.123,0.116,0.115,0.141,0.218,0.244,0.229,0.277,0.092,0.2,0,3.379,0.308,0.383,827.946,830.828,0.215,2.249,897.98,"1,305.54","1,453.95","3,369.70","2,899.36","3,254.08",325.45,325.89,"2,199.09",21.81,327.9,0.46,2,"2,287.12",298.77,669.53,-0.15,1.37,0.44,0.43,0.44,0.44,0.47,0.32,0.4,0.42,4.59,4.17,0.67,0.59,0.64,13.98,0.43,0.69,0.64,0.66,0.76,0.33,1.04,1.32,1.09,1.32,1.55,1.61,0.58,0.92,1.15,26.68,22.57,22.92,8.58,10.25,-0.24,2.29,0.73,0.71,0.7,0.68,0.74,0.51,0.69,0.69,7.67,105.61,385.56,302.05,9.4,0.2,2.8,47.4,398.1
327,LARACHE,favorable supérieur,Blé tendre,Wheat,Bour,S1,28/11/2020,18/02/2021,Yes,Yes,29/12/2020,No,,After,3.11,99%,0.138,0.002,0.227,0.131,0.109,0.114,0.084,0.139,0.238,0.264,0.241,0.278,0.136,0.308,0.002,2.087,0.358,0.554,821.509,825.195,0.301,1.798,698.19,981.26,922.71,"3,055.93","2,167.13","3,318.88",331.91,331.65,"1,271.12",19.97,335.47,0.62,1.47,"1,989.04",262.55,571.32,-0.34,0.98,0.45,0.32,0.45,0.49,0.5,0.16,0.21,0.39,3.8,2.86,0.62,0.3,0.53,11.1,0.56,0.67,0.54,0.64,0.74,0.17,1.15,1.32,0.81,1.27,1.44,1.5,0.35,0.35,0.81,19.55,23.7,24.25,11.37,12.96,-0.5,1.71,0.73,0.63,0.73,0.77,0.79,0.28,0.42,0.68,6.64,149.1,446.27,263.22,9.7,0.2,2.8,435.9,20
328,LARACHE,favorable supérieur,Blé tendre,Wheat,Bour,S1,23/11/2020,18/02/2021,Yes,Yes,01/01/2021,No,,After,2.09,95%,0.125,0.001,0.158,0.065,0.09,0.082,0.04,0.086,0.357,0.497,0.495,0.529,0.216,1.902,0.002,6.795,0.811,0.978,835.944,837.826,0.708,3.424,,,,,,,327.46,327.05,,19.46,,,1.11,"1,919.58",268.18,517.73,-0.28,0.73,0.39,0.33,0.35,0.38,0.45,0.16,0.24,0.33,3.44,2.4,0.55,0.31,0.54,11.21,0.64,0.7,0.5,0.55,0.81,0.16,2.07,1.32,0.75,1.15,1.15,2.3,0.23,0.58,0.81,20.36,23.72,23.77,11.3,12.16,-0.45,1.31,0.69,0.62,0.62,0.58,0.72,0.27,0.46,0.61,6.12,166.38,538.29,332.89,10,0.3,1.4,212.8,12.9
329,LARACHE,favorable supérieur,Blé tendre,Wheat,Bour,S1,25/11/2020,18/02/2021,Yes,Yes,03/01/2021,No,,After,4.23,97%,0.124,0.001,0.122,0.052,0.091,0.082,0.049,0.093,0.234,0.296,0.294,0.326,0.148,0.621,0.002,3.631,0.599,0.824,830.792,833.318,0.462,2.461,,,,,,,,,,19.46,,,1.34,"1,938.56",241.96,579.37,-0.44,1.08,0.48,0.48,0.48,0.47,0.58,0.14,0.38,0.44,4.64,3.38,0.8,0.47,0.68,14.58,0.61,0.81,0.74,0.75,0.84,0.23,2.19,1.78,1.44,1.78,2.13,2.53,0.35,0.69,1.5,31.74,22.66,22.99,10.35,12.98,-0.54,1.79,0.76,0.77,0.77,0.76,0.84,0.3,0.68,0.76,7.74,160.35,496.21,296.91,9.3,0.1,1.4,158.7,22.1
330,LARACHE,favorable supérieur,Blé dur,Wheat,Bour,S1,18/11/2020,18/02/2021,Yes,Yes,31/12/2020,No,,After,3.51,99%,0.136,0.002,0.225,0.109,0.104,0.113,0.07,0.144,0.374,0.463,0.461,0.485,0.201,1.024,0.004,3.579,0.606,0.848,829.585,832.262,0.61,2.908,499.93,691.89,525.81,"2,521.16","1,150.73","3,295.84",329.71,330.01,595.89,19.46,332.69,0.75,1.26,"2,039.76",221.49,561.54,-0.28,0.79,0.41,0.36,0.38,0.36,0.42,0.13,0.28,0.35,3.54,2.43,0.59,0.3,0.56,10.87,0.54,0.63,0.6,0.53,0.67,0.13,1.04,1.21,0.98,1.09,1.09,1.27,0.23,0.35,0.92,18.98,25.04,23.84,10.41,11.63,-0.44,1.37,0.66,0.65,0.64,0.57,0.68,0.24,0.53,0.63,6.14,157.47,513.81,322.2,9.4,0.4,1.7,241.5,53.4
331,LARACHE,favorable supérieur,Blé tendre,Wheat,Bour,S1,20/11/2020,18/02/2021,Yes,Yes,05/01/2021,No,,After,3.12,100%,0.137,0.003,0.192,0.097,0.105,0.111,0.073,0.133,0.316,0.373,0.368,0.391,0.169,0.712,0.003,3.511,0.545,0.768,827.607,830.531,0.5,2.511,531.16,845.25,580.75,"5,409.28","2,167.34","3,300.50",330.02,329.83,875.15,19.46,332.5,0.93,1.07,"1,962.36",215.63,492.55,-0.24,0.66,0.35,0.29,0.32,0.32,0.35,0.11,0.19,0.31,3.01,2.09,0.52,0.3,0.51,9.64,0.48,0.53,0.51,0.51,0.59,0.1,0.92,0.98,0.81,0.92,0.98,1.04,0.12,0.35,0.81,15.76,24.35,23.26,11.09,11.4,-0.39,1.23,0.59,0.59,0.56,0.56,0.61,0.21,0.39,0.56,5.64,162.29,529.08,340.65,10.1,0.4,4.4,178.3,29.7
333,LARACHE,favorable supérieur,Blé dur,Wheat,Bour,S1,20/11/2020,18/02/2021,Yes,Yes,10/01/2021,No,,After,5.27,100%,0.121,0.002,0.128,0.052,0.089,0.077,0.038,0.079,0.301,0.41,0.406,0.444,0.184,1.421,0.001,6.304,0.779,0.952,835.02,837.018,0.622,3.002,,,,,,,,,,19.97,,,0.88,"1,863.57",158.81,381.11,-0.41,0.68,0.29,0.13,0.29,0.51,0.53,0.12,0.21,0.24,2.93,2.26,0.53,0.31,0.47,9.76,0.46,0.54,0.45,0.59,0.62,0.16,1.15,0.92,0.63,0.92,1.27,1.38,0.23,0.35,0.69,16.22,23.52,22.18,10.53,12.18,-0.56,1.3,0.59,0.37,0.59,0.79,0.79,0.23,0.43,0.55,5.6,150.61,496.91,311.33,9.7,0.2,2.5,320.9,13.2
334,LARACHE,favorable supérieur,Blé dur,Wheat,Bour,S1,25/11/2020,18/02/2021,Yes,Yes,14/01/2021,No,,After,2.96,95%,0.13,0.001,0.166,0.075,0.101,0.102,0.059,0.12,0.303,0.369,0.358,0.388,0.171,0.782,0.003,3.481,0.586,0.823,828.679,831.469,0.519,2.364,620.14,919.3,719.49,"4,203.74","1,888.39","3,292.86",329.3,329.35,935.29,21.16,331.98,0.81,1.13,"1,947.64",196.65,497.49,-0.34,0.7,0.29,0.29,0.35,0.46,0.47,0.13,0.14,0.28,3.08,2.65,0.67,0.32,0.62,11.66,0.6,0.69,0.63,0.7,0.72,0.13,1.61,1.44,1.04,1.44,1.78,1.84,0.23,0.46,1.04,22.77,24.52,22.85,9.64,12.55,-0.51,1.32,0.57,0.57,0.67,0.75,0.75,0.24,0.3,0.56,5.82,152.12,505.34,322.09,8.6,0.1,2.3,254.2,30
335,LARACHE,favorable supérieur,Blé dur,Wheat,Bour,S1,25/11/2020,18/02/2021,Yes,Yes,14/01/2021,No,,After,5.47,100%,0.131,0.001,0.15,0.07,0.097,0.094,0.048,0.102,0.278,0.333,0.342,0.345,0.134,0.773,0.002,3.745,0.609,0.865,828.084,830.948,0.524,2.136,610.99,831.57,584.07,"5,016.50","1,925.22","3,285.59",328.53,328.39,725.49,21.16,330.97,0.91,1.23,"1,980.76",213.78,513.13,-0.19,0.61,0.26,0.26,0.28,0.31,0.32,0.13,0.17,0.23,2.56,2.33,0.56,0.3,0.46,9.72,0.55,0.56,0.44,0.63,0.66,0.1,1.27,0.86,0.63,0.86,1.38,1.38,0.12,0.35,0.69,16.44,25.1,23.91,11.07,12.04,-0.37,1.36,0.56,0.62,0.6,0.61,0.62,0.26,0.43,0.53,5.68,153.21,479.59,290.9,8.4,0.1,2.4,284.1,25.9
336,LARACHE,favorable supérieur,Blé tendre,Wheat,Bour,S1,25/11/2020,18/02/2021,Yes,Yes,16/02/2021,No,,After,4.08,96%,0.136,0.002,0.176,0.082,0.096,0.09,0.051,0.108,0.353,0.467,0.449,0.504,0.193,1.357,0.003,4.911,0.717,0.915,833.287,835.501,0.639,3.287,645.15,810.3,668.48,"3,656.52","1,927.17","3,318.90",331.91,332.15,"1,025.97",19.44,335.36,0.79,1.2,"1,902.10",162.96,440.91,-0.22,0.88,0.35,0.25,0.34,0.39,0.43,0.21,0.23,0.26,3.24,2.79,0.53,0.36,0.44,10.21,0.25,0.53,0.39,0.56,0.59,0.33,0.81,0.81,0.46,0.81,1.09,1.15,0.35,0.46,0.58,15.53,25.04,24.55,9.48,11.8,-0.23,1.57,0.58,0.5,0.54,0.6,0.65,0.42,0.43,0.5,5.74,135.7,421.49,255.57,9.4,0.2,0.9,146.1,94.4
337,LARACHE,favorable supérieur,Blé dur,Wheat,Bour,S1,25/11/2020,18/02/2021,Yes,Yes,15/01/2021,No,,After,3.34,99%,0.121,0.001,0.121,0.05,0.087,0.078,0.038,0.081,0.299,0.404,0.395,0.426,0.186,1.354,0.002,5.932,0.767,0.946,834.578,836.63,0.61,2.844,,,,,,,324.18,323.76,,19.46,,,1.07,"1,992.49",181.59,515.32,-0.38,0.72,0.47,0.36,0.44,0.44,0.49,0.11,0.2,0.34,3.48,2.37,0.63,0.31,0.53,11.43,0.72,0.72,0.57,0.59,0.83,0.1,1.61,1.61,0.92,1.21,1.21,1.73,0.12,0.46,0.92,20.82,24.43,23.36,11.17,12.45,-0.52,1.25,0.73,0.65,0.71,0.68,0.73,0.21,0.38,0.59,6.04,165.66,554.41,352.25,10.1,0.2,2.1,251.9,12.9
339,My Yaacoub,favorable,Orge,Barley,Bour,S1,10/11/2020,30/01/2021,Yes,No,,No,,No N topDress ,5.98,103%,0.21,0.001,0.244,0.16,0.162,0.152,0.129,0.171,0.289,0.333,0.317,0.351,0.116,0.345,0.001,3.313,0.37,0.484,828.409,831.233,0.317,2.03,520.24,761.96,655.54,"2,175.08","1,556.96","3,280.38",328.04,327.96,893.01,17.07,331.01,0.58,2.36,"2,299.08",269.79,688.62,-0.27,1.23,0.43,0.35,0.41,0.41,0.44,0.17,0.26,0.32,3.6,3.54,0.58,0.3,0.47,10.34,0.51,0.66,0.5,0.57,0.67,0.16,1.38,1.55,0.75,1.15,1.32,1.61,0.23,0.35,0.69,18.63,24.44,24.76,10.3,11.03,-0.41,1.93,0.64,0.57,0.6,0.59,0.65,0.24,0.45,0.56,5.65,96.58,335.99,220.99,,,,,
340,My Yaacoub,favorable,Orge,Barley,Bour,S1,11/11/2020,30/01/2021,Yes,Yes,25/01/2021,No,,After,5.08,98%,0.168,0.002,0.302,0.181,0.136,0.149,0.115,0.179,0.421,0.512,0.515,0.538,0.175,0.933,0.003,4.298,0.554,0.73,830.615,833.163,0.573,3.048,737.11,"1,266.42","1,040.64","5,524.89","3,237.55","3,349.95",335,335.16,"1,795.06",19.97,338.28,0.79,2.23,"2,401.89",256.45,689.43,-0.32,1.35,0.48,0.42,0.44,0.4,0.51,0.18,0.33,0.38,4.16,3.64,0.65,0.37,0.55,11.24,0.72,0.67,0.62,0.62,0.81,0.08,2.19,1.44,1.04,1.21,1.5,2.3,0.12,0.46,0.92,21.05,21.57,21.75,10.48,11.07,-0.48,2.1,0.71,0.65,0.64,0.58,0.76,0.28,0.56,0.61,6.48,112.24,355.4,238.04,9.4,0.3,3.9,370.1,66.2
341,My Yaacoub,favorable,Blé dur,Wheat,Bour,S1,17/11/2020,02/02/2021,Yes,Yes,30/01/2021,No,,After,3.93,94%,0.153,0.001,0.144,0.074,0.111,0.096,0.057,0.102,0.242,0.286,0.264,0.292,0.101,0.541,0.002,3.569,0.545,0.741,827.865,830.757,0.398,1.872,342.26,571.7,386.41,"3,102.97","1,312.55","3,272.56",327.24,327.53,693.14,14.89,329.45,0.89,1.85,"2,322.20",278.65,607.43,-0.33,1.2,0.48,0.4,0.46,0.46,0.49,0.16,0.21,0.38,3.93,3.21,0.63,0.3,0.47,10.55,0.51,0.67,0.55,0.63,0.69,0.18,1.27,1.15,0.81,1.15,1.32,1.61,0.35,0.46,0.69,17.94,21.01,22.09,11.02,12.11,-0.51,2.06,0.77,0.7,0.71,0.67,0.8,0.3,0.49,0.66,6.76,115.03,377.26,251.32,9,0.3,3.5,319.2,74.9
342,My Yaacoub,favorable,Blé tendre,Wheat,Bour,S1,17/11/2020,02/02/2021,Yes,No,,No,,No N topDress ,4.29,97%,0.147,0.001,0.224,0.105,0.115,0.112,0.069,0.13,0.337,0.409,0.41,0.438,0.158,0.885,0.003,3.904,0.596,0.82,829.166,831.896,0.559,2.562,604.9,898.4,681.75,"4,782.57","2,205.38","3,325.80",332.53,332.68,879.75,17.06,335.5,0.86,1.83,"2,143.26",257.26,610.54,-0.54,1.31,0.58,0.5,0.55,0.56,0.66,0.13,0.17,0.41,4.35,3.55,0.79,0.21,0.55,11.82,0.78,0.82,0.59,0.81,0.89,0.1,2.88,2.36,0.98,1.96,2.42,2.99,0.12,0.23,0.92,26.56,22.85,26.48,9.59,10.13,-0.71,2,0.83,0.72,0.74,0.78,0.92,0.21,0.35,0.69,6.65,133.52,382.9,248.33,9.1,0.3,2.8,354.4,57.8
344,My Yaacoub,favorable,Blé dur,Wheat,Bour,S1,10/11/2020,30/01/2021,Yes,Yes,30/01/2021,No,,After,4.88,98%,0.145,0.001,0.15,0.058,0.107,0.099,0.052,0.104,0.32,0.395,0.383,0.416,0.118,1.056,0.002,4.806,0.67,0.874,830.377,832.955,0.565,2.361,593.92,825.74,589.86,"3,689.45","1,786.70","3,280.95",328.06,328.08,722.04,17.07,330.55,0.83,2.29,"2,310.92",252.54,682.87,-0.46,1.43,0.59,0.36,0.55,0.56,0.62,0.17,0.23,0.33,4.26,4.09,0.67,0.35,0.53,12.17,0.63,0.76,0.55,0.66,0.81,0.17,1.84,1.96,0.86,1.61,1.61,2.19,0.35,0.58,0.81,24.49,23.74,24.23,10.01,10.52,-0.6,2.2,0.82,0.6,0.75,0.75,0.84,0.24,0.41,0.57,6.54,92.29,342.26,236.69,9.5,0.2,2.9,333.5,61.2
345,My Yaacoub,favorable,Blé tendre,Wheat,Bour,S1,09/11/2020,30/01/2021,Yes,No,,No,,No N topDress ,4.2,97%,0.15,0.001,0.198,0.092,0.115,0.11,0.074,0.117,0.281,0.341,0.331,0.362,0.093,0.642,0.002,4.405,0.563,0.731,830.415,832.988,0.453,2.308,529.83,789.38,643.22,"3,890.55","1,732.00","3,305.04",330.52,330.8,705.27,21.81,333.4,0.82,1.85,"2,127.27",208.38,598.58,-0.39,1.06,0.47,0.36,0.43,0.42,0.51,0.12,0.17,0.29,3.43,3.09,0.56,0.18,0.51,10.03,0.68,0.68,0.53,0.6,0.75,0.07,1.73,1.67,0.81,1.21,1.38,1.84,0.12,0.23,0.69,18.63,23.83,25.29,10.15,10.84,-0.57,1.67,0.72,0.56,0.65,0.61,0.76,0.19,0.34,0.49,5.42,123.72,372.75,244.97,9.4,0.2,4.3,405.3,81.3
346,My Yaacoub,favorable,Blé tendre,Wheat,irrigué,S1,20/11/2020,30/01/2021,Yes,Yes,31/01/2021,No,,Befor,6.05,97%,0.153,0.001,0.199,0.112,0.118,0.117,0.083,0.134,0.33,0.406,0.391,0.423,0.132,0.793,0.002,4.362,0.577,0.748,830.804,833.329,0.507,2.719,814.32,"1,162.98","1,154.86","3,964.65","2,279.02","3,312.44",331.22,330.81,"1,185.54",17.99,334.49,0.63,2.24,"2,228.01",262.32,635.26,-0.43,2.06,0.56,0.53,0.54,0.55,0.61,0.18,0.59,0.54,5.83,4.42,0.59,0.55,0.58,12.52,0.51,0.64,0.59,0.49,0.64,0.14,1.27,1.44,0.92,1.09,1.09,1.5,0.23,0.81,1.04,23.12,22.26,23.29,9.41,11.58,-0.52,2.71,0.74,0.7,0.71,0.69,0.76,0.24,0.77,0.72,7.67,90.18,325.56,226.11,9.8,0.2,3.5,330.7,61.9
348,My Yaacoub,favorable,Orge,Barley,Bour,S1,20/11/2020,03/02/2021,No,No,,No,,No N topDress ,4.77,99%,0.155,0.001,0.207,0.118,0.119,0.113,0.084,0.124,0.228,0.272,0.249,0.293,0.109,0.345,0.001,2.966,0.429,0.569,829.005,831.754,0.313,1.902,459.59,842.59,652.76,"4,033.39","2,058.54","3,317.81",331.75,331.92,970.98,17.06,334.46,0.82,1.52,"2,167.86",177.68,502.55,-0.51,1.17,0.54,0.38,0.51,0.57,0.63,0.12,0.13,0.3,3.86,3.35,0.74,0.2,0.51,11.1,0.72,0.81,0.58,0.74,0.85,0.13,2.3,1.9,0.98,1.84,2.01,2.53,0.23,0.23,0.81,23.69,21.1,24.78,11.37,11.79,-0.7,2.05,0.85,0.69,0.8,0.84,0.9,0.2,0.33,0.65,6.77,127.73,380.91,247.89,9.7,0.3,2.9,347.6,73.3
349,My Yaacoub,favorable,Blé dur,Wheat,Bour,S1,15/11/2020,03/02/2021,Yes,Yes,20/01/2021,No,,After,3.76,97%,0.168,0.001,0.295,0.17,0.149,0.166,0.137,0.202,0.39,0.454,0.45,0.484,0.133,0.613,0.003,3.323,0.442,0.615,827.764,830.668,0.466,2.565,838.49,"1,456.39","1,318.98","4,424.05","2,903.10","3,320.89",332.09,331.85,"1,619.96",14.89,335.47,0.62,1.79,"2,283.67",234.14,595.13,-0.47,1.34,0.57,0.48,0.53,0.48,0.6,0.13,0.19,0.44,4.47,3.8,0.75,0.3,0.62,12.67,0.68,0.81,0.62,0.76,0.84,0.16,2.07,2.13,1.04,1.9,2.19,2.3,0.23,0.35,1.04,26.8,21.19,23.61,10.13,11.58,-0.58,1.92,0.77,0.66,0.7,0.66,0.81,0.23,0.37,0.65,6.39,120.29,383.27,255.91,9.4,0.2,2.4,309,47.2
350,My Yaacoub,favorable,Blé tendre,Wheat,Bour,S1,20/11/2020,02/02/2021,Yes,Yes,26/01/2021,No,,After,5.82,99%,0.159,0.001,0.22,0.117,0.119,0.113,0.076,0.136,0.281,0.332,0.328,0.352,0.105,0.532,0.003,2.782,0.483,0.719,826.562,829.616,0.445,2.225,529,835.87,930.63,"2,119.45","2,312.74","3,248.55",324.82,324.12,"1,475.44",18.3,327.54,0.45,1.53,"2,164.76",164.68,557.06,-0.54,1.15,0.58,0.41,0.5,0.52,0.67,0.14,0.19,0.37,4.19,2.82,0.62,0.31,0.46,10.28,0.64,0.66,0.47,0.6,0.75,0.1,1.73,1.61,0.69,1.5,1.44,1.84,0.12,0.35,0.69,20.24,24.81,25.4,10.78,11.63,-0.63,1.7,0.8,0.63,0.73,0.65,0.82,0.19,0.37,0.59,6.2,142.38,419.19,285.24,9.3,0.2,3.1,286.8,61.5
